Timestamp,Attack Type,Target IP,Target Port,Status
2025-06-30 21:14:38,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 21:14:39,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 21:14:40,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 21:14:41,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 21:14:41,SYN Flood,127.0.0.1,53,Launched
2025-06-30 21:14:41,UDP Flood,127.0.0.1,53,Launched
2025-06-30 21:14:41,Slowloris,127.0.0.1,53,Launched
2025-06-30 21:14:41,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 21:14:41,SYN Flood,127.0.0.1,88,Launched
2025-06-30 21:14:41,UDP Flood,127.0.0.1,88,Launched
2025-06-30 21:14:41,Slowloris,127.0.0.1,88,Launched
2025-06-30 21:14:41,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 21:14:41,SYN Flood,127.0.0.1,445,Launched
2025-06-30 21:14:41,UDP Flood,127.0.0.1,445,Launched
2025-06-30 21:14:41,Slowloris,127.0.0.1,445,Launched
2025-06-30 21:14:41,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:23:04,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:23:05,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:23:06,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:23:07,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:23:09,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:23:10,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:23:11,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:23:12,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:23:12,SYN Flood,127.0.0.1,88,Launched
2025-06-30 22:23:13,UDP Flood,127.0.0.1,88,Launched
2025-06-30 22:23:14,Slowloris,127.0.0.1,88,Launched
2025-06-30 22:23:15,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:23:15,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:23:16,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:23:17,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:23:18,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:24:49,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:24:50,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:24:51,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:24:52,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:24:54,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:24:55,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:24:56,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:24:57,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:24:57,SYN Flood,127.0.0.1,88,Launched
2025-06-30 22:24:58,UDP Flood,127.0.0.1,88,Launched
2025-06-30 22:24:59,Slowloris,127.0.0.1,88,Launched
2025-06-30 22:25:00,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:25:00,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:25:01,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:25:02,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:25:03,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:26:29,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:26:30,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:26:31,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:26:32,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:26:33,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:26:34,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:26:35,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:26:36,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:26:36,SYN Flood,127.0.0.1,88,Launched
2025-06-30 22:26:37,UDP Flood,127.0.0.1,88,Launched
2025-06-30 22:26:38,Slowloris,127.0.0.1,88,Launched
2025-06-30 22:26:39,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:26:39,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:26:40,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:26:41,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:26:42,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:28:26,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:28:27,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:28:28,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:28:29,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:28:30,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:28:31,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:28:32,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:28:33,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:28:33,SYN Flood,127.0.0.1,88,Launched
2025-06-30 22:28:34,UDP Flood,127.0.0.1,88,Launched
2025-06-30 22:28:35,Slowloris,127.0.0.1,88,Launched
2025-06-30 22:28:36,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:28:36,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:28:37,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:28:38,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:28:39,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:33:02,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:33:03,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:33:04,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:33:05,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:33:06,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:33:07,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:33:08,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:33:09,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:33:10,SYN Flood,127.0.0.1,88,Launched
2025-06-30 22:33:11,UDP Flood,127.0.0.1,88,Launched
2025-06-30 22:33:12,Slowloris,127.0.0.1,88,Launched
2025-06-30 22:33:13,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:33:13,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:33:14,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:33:15,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:33:16,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:36:36,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:36:37,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:36:38,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:36:39,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:36:40,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:36:41,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:36:42,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:36:43,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:36:43,SYN Flood,127.0.0.1,88,Launched
2025-06-30 22:36:44,UDP Flood,127.0.0.1,88,Launched
2025-06-30 22:36:45,Slowloris,127.0.0.1,88,Launched
2025-06-30 22:36:46,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:36:46,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:36:47,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:36:48,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:36:49,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:48:10,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:48:11,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:48:12,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:48:13,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:48:13,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:48:52,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:48:53,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:48:54,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:48:55,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:48:55,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:48:56,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:48:57,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:48:58,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:48:58,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:48:59,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:49:00,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:49:01,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:49:22,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:49:23,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:49:24,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:49:25,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:49:25,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:49:26,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:49:27,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:49:28,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:49:28,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:49:29,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:49:30,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:49:31,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:50:54,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:50:55,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:50:56,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:50:57,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:50:58,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:50:59,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:51:00,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:51:01,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:51:01,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:51:02,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:51:03,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:51:04,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:51:28,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:51:29,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:51:30,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:51:31,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:51:31,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:51:32,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:51:33,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:51:34,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:51:34,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:51:35,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:51:36,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:51:37,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:52:37,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:52:38,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:52:39,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:52:40,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:52:41,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:52:42,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:52:43,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:52:44,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:52:44,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:52:45,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:52:46,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:52:47,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:53:47,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:53:48,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:53:49,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:53:50,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:53:50,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:53:51,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:53:52,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:53:53,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:53:53,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:53:54,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:53:55,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:53:56,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:54:56,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:54:57,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:54:58,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:54:59,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:54:59,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:55:00,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:55:01,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:55:02,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:55:02,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:55:03,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:55:04,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:55:05,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:56:05,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:56:06,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:56:07,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
2025-06-30 22:56:08,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:56:08,SYN Flood,127.0.0.1,53,Launched
2025-06-30 22:56:09,UDP Flood,127.0.0.1,53,Launched
2025-06-30 22:56:10,Slowloris,127.0.0.1,53,Launched
2025-06-30 22:56:11,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:56:11,SYN Flood,127.0.0.1,445,Launched
2025-06-30 22:56:13,UDP Flood,127.0.0.1,445,Launched
2025-06-30 22:56:14,Slowloris,127.0.0.1,445,Launched
2025-06-30 22:56:15,Fake Bot Traffic,127.0.0.1,-,Launched
2025-06-30 22:57:15,SQL Injection,127.0.0.1,-,Payload=' OR 1=1 --
2025-06-30 22:57:16,SQL Injection,127.0.0.1,-,Payload=admin' --
2025-06-30 22:57:17,SQL Injection,127.0.0.1,-,Payload=' OR 'a'='a
