src_ip,dst_ip,protocol,is_anomaly
192.168.1.5,91.108.56.149,6,0
91.108.56.149,192.168.1.5,6,0
192.168.1.5,91.108.56.149,6,0
91.108.56.149,192.168.1.5,6,0
192.168.1.5,91.108.56.149,6,0
192.168.1.5,91.108.56.149,6,0
91.108.56.149,192.168.1.5,6,0
192.168.1.5,91.108.56.149,6,0
91.108.56.149,192.168.1.5,6,0
192.168.1.5,91.108.56.149,6,0
192.168.1.5,35.223.238.178,6,0
35.223.238.178,192.168.1.5,6,0
192.168.1.5,35.223.238.178,6,0
192.168.1.5,35.223.238.178,6,0
35.223.238.178,192.168.1.5,6,0
35.223.238.178,192.168.1.5,6,0
35.223.238.178,192.168.1.5,6,0
35.223.238.178,192.168.1.5,6,0
192.168.1.5,35.223.238.178,6,0
192.168.1.5,35.223.238.178,6,0
192.168.1.5,35.223.238.178,6,0
192.168.1.5,35.186.224.45,6,0
35.223.238.178,192.168.1.5,6,0
35.223.238.178,192.168.1.5,6,0
35.223.238.178,192.168.1.5,6,0
35.223.238.178,192.168.1.5,6,0
35.223.238.178,192.168.1.5,6,0
192.168.1.5,35.223.238.178,6,0
192.168.1.5,35.223.238.178,6,0
192.168.1.5,35.223.238.178,6,0
192.168.1.5,35.223.238.178,6,0
35.186.224.45,192.168.1.5,6,0
35.186.224.45,192.168.1.5,6,0
192.168.1.5,35.186.224.45,6,0
35.223.238.178,192.168.1.5,6,0
192.168.1.5,35.223.238.178,6,0
35.223.238.178,192.168.1.5,6,0
192.168.1.5,35.223.238.178,6,0
35.223.238.178,192.168.1.5,6,0
192.168.1.5,35.223.238.178,6,0
192.168.1.5,149.154.167.99,6,0
35.223.238.178,192.168.1.5,6,0
192.168.1.1,192.168.1.255,17,0
149.154.167.99,192.168.1.5,6,0
192.168.1.5,149.154.167.99,6,0
192.168.1.5,149.154.167.99,6,0
192.168.1.5,35.223.238.178,6,0
149.154.167.99,192.168.1.5,6,0
149.154.167.99,192.168.1.5,6,0
149.154.167.99,192.168.1.5,6,0
192.168.1.5,149.154.167.99,6,0
149.154.167.99,192.168.1.5,6,0
149.154.167.99,192.168.1.5,6,0
149.154.167.99,192.168.1.5,6,0
192.168.1.5,149.154.167.99,6,0
192.168.1.5,149.154.167.99,6,0
